https://www.googleapis.com/auth/fitness.oxygen_saturation.write,Add info about your oxygen saturation in Google Fit. I consent to Google using my oxygen saturation information with this app.
https://www.googleapis.com/auth/fitness.reproductive_health.read,See info about your reproductive health in Google Fit. I consent to Google sharing my reproductive health information with this app.
https://www.googleapis.com/auth/fitness.reproductive_health.write,Add info about your reproductive health in Google Fit. I consent to Google using my reproductive health information with this app.
https://www.googleapis.com/auth/fitness.sleep.read,See your sleep data in Google Fit. I consent to Google sharing my sleep information with this app.
https://www.googleapis.com/auth/fitness.sleep.write,Add to your sleep data in Google Fit. I consent to Google using my sleep information with this app.
https://www.googleapis.com/auth/forms,View and manage your forms in Google Drive
https://www.googleapis.com/auth/forms.currentonly,View and manage forms that this application has been installed in
https://www.googleapis.com/auth/games,Create, edit, and delete your Google Play Games activity
https://www.googleapis.com/auth/genomics,View and manage Genomics data
https://www.googleapis.com/auth/gmail.addons.current.action.compose,Manage drafts and send emails when you interact with the add-on
https://www.googleapis.com/auth/gmail.addons.current.message.action,View your email messages when you interact with the add-on
https://www.googleapis.com/auth/gmail.addons.current.message.metadata,View your email message metadata when the add-on is running
https://www.googleapis.com/auth/gmail.addons.current.message.readonly,View your email messages when the add-on is running
https://www.googleapis.com/auth/gmail.compose,Manage drafts and send emails
https://www.googleapis.com/auth/gmail.insert,Add emails into your Gmail mailbox
https://www.googleapis.com/auth/gmail.labels,See and edit your email labels
https://www.googleapis.com/auth/gmail.metadata,View your email message metadata such as labels and headers, but not the email body
https://www.googleapis.com/auth/gmail.modify,Read, compose, and send emails from your Gmail account
https://www.googleapis.com/auth/gmail.readonly,View your email messages and settings
https://www.googleapis.com/auth/gmail.send,Send email on your behalf
https://www.googleapis.com/auth/gmail.settings.basic,See, edit, create, or change your email settings and filters in Gmail
https://www.googleapis.com/auth/gmail.settings.sharing,Manage your sensitive mail settings, including who can manage your mail
https://www.googleapis.com/auth/groups,View and manage your Google Groups
https://www.googleapis.com/auth/indexing,Submit data to Google for indexing
https://www.googleapis.com/auth/logging.admin,Administrate log data for your projects
https://www.googleapis.com/auth/logging.read,View log data for your projects
https://www.googleapis.com/auth/logging.write,Submit log data for your projects
